County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,Mapleton 1,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,
01,ADAMS,0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,0,0,0,0,0,0,0,0,0,105,125,146,120,108,98,702,
01,ADAMS,0010,Mapleton 1,0212,Mapleton Early College High School,0,0,0,0,0,0,0,0,0,0,0,75,65,64,62,266,
01,ADAMS,0010,Mapleton 1,0263,Global Leadership Academy,0,0,0,0,0,0,0,0,0,0,0,91,72,52,51,266,
01,ADAMS,0010,Mapleton 1,0309,Academy High School,0,0,0,0,0,0,0,0,0,0,0,137,124,110,96,467,
01,ADAMS,0010,Mapleton 1,0501,Monterey Community School,0,0,24,35,33,42,37,47,60,41,54,0,0,0,0,373,
01,ADAMS,0010,Mapleton 1,0502,Meadow Community School,60,0,52,52,41,46,44,43,60,57,48,0,0,0,0,503,
01,ADAMS,0010,Mapleton 1,0503,York International,0,0,38,58,54,54,52,59,60,58,58,82,80,69,71,793,
01,ADAMS,0010,Mapleton 1,0504,Welby Community School,112,0,59,46,40,39,36,27,28,0,0,0,0,0,0,387,
01,ADAMS,0010,Mapleton 1,0505,Achieve Academy,94,0,37,31,46,46,50,51,55,61,55,0,0,0,0,526,
01,ADAMS,0010,Mapleton 1,0506,Explore Elementary,64,0,55,44,53,48,49,52,60,0,0,0,0,0,0,425,
01,ADAMS,0010,Mapleton 1,0507,Adventure Elementary,67,0,59,50,41,58,44,50,59,0,0,0,0,0,0,428,
01,ADAMS,0010,Mapleton 1,0509,Clayton Partnership School,0,0,50,38,56,53,56,52,56,58,55,0,0,0,0,474,
01,ADAMS,0010,Mapleton 1,0695,Big Picture College and Career Academy,0,0,0,0,0,0,0,0,0,0,0,32,38,28,38,136,
01,ADAMS,0010,Mapleton 1,1796,Colorado Connections Academy,0,0,71,69,63,79,82,100,155,191,270,312,314,283,285,2274,
