County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
51,PUEBLO,2700,PUEBLO COUNTY 70,1377,CEDAR RIDGE ELEMENTARY SCHOOL,32,0,62,66,79,75,99,95,0,0,0,0,0,0,0,508,
51,PUEBLO,2700,PUEBLO COUNTY 70,5990,70 ONLINE,0,0,0,0,0,1,2,1,6,8,13,13,24,31,54,153,
51,PUEBLO,2700,PUEBLO COUNTY 70,6354,NORTH MESA ELEMENTARY SCHOOL,28,0,51,73,74,72,107,88,0,0,0,0,0,0,0,493,
51,PUEBLO,2700,PUEBLO COUNTY 70,7086,PLEASANT VIEW MIDDLE SCHOOL,0,0,0,0,0,0,0,0,121,131,121,0,0,0,0,373,
51,PUEBLO,2700,PUEBLO COUNTY 70,7153,PRAIRIE WINDS ELEMENTARY SCHOOL,53,0,68,63,73,84,91,93,0,0,0,0,0,0,0,525,
51,PUEBLO,2700,PUEBLO COUNTY 70,7208,PUEBLO COUNTY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,294,248,227,214,983,
51,PUEBLO,2700,PUEBLO COUNTY 70,7210,LIBERTY POINT ELEMENTARY SCHOOL,28,0,47,48,63,48,59,66,0,0,0,0,0,0,0,359,
51,PUEBLO,2700,PUEBLO COUNTY 70,7212,LIBERTY POINT INTERNATIONAL SCHOOL,0,0,0,0,0,0,0,0,157,161,156,0,0,0,0,474,
51,PUEBLO,2700,PUEBLO COUNTY 70,7214,PUEBLO WEST HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,376,356,345,322,1399,
51,PUEBLO,2700,PUEBLO COUNTY 70,7530,RYE ELEMENTARY SCHOOL,29,0,46,54,45,56,61,58,0,0,0,0,0,0,0,349,
51,PUEBLO,2700,PUEBLO COUNTY 70,7532,CRAVER MIDDLE SCHOOL,0,0,0,0,0,0,0,0,71,55,57,0,0,0,0,183,
51,PUEBLO,2700,PUEBLO COUNTY 70,7534,RYE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,60,55,60,54,229,
51,PUEBLO,2700,PUEBLO COUNTY 70,7879,SWALLOWS CHARTER ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,42,36,50,32,160,
51,PUEBLO,2700,PUEBLO COUNTY 70,7886,SIERRA VISTA ELEMENTARY SCHOOL,28,0,79,71,79,65,75,86,0,0,0,0,0,0,0,483,
51,PUEBLO,2700,PUEBLO COUNTY 70,8110,SOUTH MESA ELEMENTARY SCHOOL,27,0,56,49,90,71,82,61,0,0,0,0,0,0,0,436,
51,PUEBLO,2700,PUEBLO COUNTY 70,8420,SWALLOWS CHARTER ACADEMY,0,0,48,48,48,47,47,48,49,48,49,0,0,0,0,432,
51,PUEBLO,2700,PUEBLO COUNTY 70,8810,THE CONNECT CHARTER SCHOOL,0,0,0,0,0,0,0,0,99,87,90,0,0,0,0,276,
51,PUEBLO,2700,PUEBLO COUNTY 70,9130,VINELAND ELEMENTARY SCHOOL,27,0,45,38,40,45,50,46,0,0,0,0,0,0,0,291,
51,PUEBLO,2700,PUEBLO COUNTY 70,9134,VINELAND MIDDLE SCHOOL,0,0,0,0,0,0,0,0,125,94,115,0,0,0,0,334,
52,RIO BLANCO,2710,MEEKER RE1,5750,MEEKER ELEMENTARY SCHOOL,48,0,45,65,56,40,53,59,0,0,0,0,0,0,0,366,
52,RIO BLANCO,2710,MEEKER RE1,5754,BARONE MIDDLE SCHOOL,0,0,0,0,0,0,0,0,69,55,50,0,0,0,0,174,
52,RIO BLANCO,2710,MEEKER RE1,5762,MEEKER HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,48,48,54,52,202,
52,RIO BLANCO,2720,RANGELY RE-4,7268,PARKVIEW ELEMENTARY SCHOOL,29,0,35,36,46,46,53,44,0,0,0,0,0,0,0,289,
52,RIO BLANCO,2720,RANGELY RE-4,7276,RANGELY JUNIOR/SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,34,30,37,29,27,39,27,223,
53,RIO GRANDE,2730,DEL NORTE C-7,2148,DEL NORTE SCHOOLS K-8,0,0,33,31,43,19,34,40,24,32,24,0,0,0,0,280,
53,RIO GRANDE,2730,DEL NORTE C-7,2150,DEL NORTE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,34,39,39,19,131,
53,RIO GRANDE,2740,MONTE VISTA C-8,5579,MARSH ELEMENTARY SCHOOL,73,0,60,0,0,0,0,0,0,0,0,0,0,0,0,133,
53,RIO GRANDE,2740,MONTE VISTA C-8,6030,BYRON SYRING DELTA CENTER,0,0,0,0,0,0,0,0,0,0,0,0,7,16,13,36,
53,RIO GRANDE,2740,MONTE VISTA C-8,6036,BILL METZ ELEMENTARY SCHOOL,0,0,0,65,82,77,79,72,0,0,0,0,0,0,0,375,
53,RIO GRANDE,2740,MONTE VISTA C-8,6044,MONTE VISTA MIDDLE SCHOOL,0,0,0,0,0,0,0,0,64,81,69,0,0,0,0,214,
53,RIO GRANDE,2740,MONTE VISTA C-8,6046,MONTE VISTA SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,78,71,65,58,272,
53,RIO GRANDE,2740,MONTE VISTA C-8,6520,MONTE VISTA ON-LINE ACADEMY,0,0,0,0,0,0,0,5,11,15,22,13,19,18,20,123,
53,RIO GRANDE,2750,SARGENT RE-33J,7660,SARGENT ELEMENTARY SCHOOL,0,0,18,36,25,30,22,30,25,0,0,0,0,0,0,186,
53,RIO GRANDE,2750,SARGENT RE-33J,7664,SARGENT SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,37,24,24,33,118,
