County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,0,103,125,122,128,110,85,673,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,65,61,61,56,243,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,0,0,0,0,0,0,0,0,0,0,0,82,49,53,33,217,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,116,123,101,95,435,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,0,0,34,40,42,38,52,53,41,59,48,0,0,0,0,407,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,63,0,61,44,55,39,48,57,54,52,44,0,0,0,0,517,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,0,58,53,57,55,59,61,57,61,63,76,81,74,61,816,
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,142,0,58,44,36,31,23,27,26,0,0,0,0,0,0,387,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,76,0,37,50,46,56,53,54,61,56,57,0,0,0,0,546,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,61,0,48,49,51,43,51,61,54,0,0,0,0,0,0,418,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,64,0,47,37,48,38,46,49,38,0,0,0,0,0,0,367,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,0,38,53,51,51,54,57,50,50,55,0,0,0,0,459,
01,ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,0,0,0,0,0,0,0,0,0,0,0,53,43,58,22,176,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,0,0,71,59,77,65,84,107,144,213,257,371,292,256,274,"2,270",
01,ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,0,0,0,0,0,0,52,52,57,55,59,0,0,0,0,275,
01,ADAMS,0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,79,0,42,51,50,51,0,0,0,0,0,0,0,0,0,273,
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,0,22,22,43,39,49,50,46,55,48,0,0,0,0,374,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,12,43,55,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,0,46,24,79,76,68,81,77,0,0,0,0,0,0,0,451,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,0,0,0,0,0,0,0,0,353,414,407,0,0,0,0,"1,174",
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,0,25,73,93,110,101,118,123,0,0,0,0,0,0,0,643,
