County Code,County Name,District Code,District Name,School Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
49,PITKIN,2640,ASPEN 1 Total,,,28,1,115,94,131,121,134,121,126,127,134,154,139,137,136,1698,
50,PROWERS,2650,GRANADA RE-1,3542,GRANADA ELEMENTARY SCHOOL,20,0,13,18,15,12,18,20,20,0,0,0,0,0,0,136,
50,PROWERS,2650,GRANADA RE-1,3546,GRANADA UNDIVIDED HIGH SCHOOL,0,0,0,0,0,0,0,0,0,13,9,12,18,11,18,81,
50,PROWERS,2650,GRANADA RE-1 Total,,,20,0,13,18,15,12,18,20,20,13,9,12,18,11,18,217,
50,PROWERS,2660,LAMAR RE-2,0200,ALTA VISTA CHARTER SCHOOL,0,0,22,15,21,19,17,19,13,0,0,0,0,0,0,126,
50,PROWERS,2660,LAMAR RE-2,4956,LAMAR MIDDLE SCHOOL,0,0,0,0,0,0,0,0,102,114,123,0,0,0,0,339,
50,PROWERS,2660,LAMAR RE-2,4960,LAMAR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,111,117,107,86,421,
50,PROWERS,2660,LAMAR RE-2,5777,MELVIN HENDRICKSON DEVELOPMENT CENTER,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,
50,PROWERS,2660,LAMAR RE-2,6794,PARKVIEW ELEMENTARY SCHOOL,0,0,0,0,0,102,88,104,0,0,0,0,0,0,0,294,
50,PROWERS,2660,LAMAR RE-2,9268,WASHINGTON ELEMENTARY SCHOOL,0,1,68,93,104,0,0,0,0,0,0,0,0,0,0,266,
50,PROWERS,2660,LAMAR RE-2 Total,,,131,1,90,108,125,121,105,123,115,114,123,111,117,107,86,1577,
50,PROWERS,2670,HOLLY RE-3,4058,HOLLY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,22,26,22,22,92,
50,PROWERS,2670,HOLLY RE-3,4069,HOLLY JUNIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,48,
50,PROWERS,2670,HOLLY RE-3,7794,HOLLY ELEMENTARY SCHOOL,23,0,22,21,22,21,20,17,22,0,0,0,0,0,0,168,
50,PROWERS,2670,HOLLY RE-3 Total,,,23,0,22,21,22,21,20,17,22,24,24,22,26,22,22,308,
50,PROWERS,2680,WILEY RE-13 JT,9604,WILEY ELEMENTARY SCHOOL,21,0,13,19,22,16,20,20,0,0,0,0,0,0,0,131,
50,PROWERS,2680,WILEY RE-13 JT,9608,WILEY JUNIOR-SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,19,20,17,12,27,19,23,137,
50,PROWERS,2680,WILEY RE-13 JT Total,,,21,0,13,19,22,16,20,20,19,20,17,12,27,19,23,268,
51,PUEBLO,2690,PUEBLO CITY 60,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,
51,PUEBLO,2690,PUEBLO CITY 60,0738,BELMONT ELEMENTARY SCHOOL,25,0,84,69,82,100,84,66,0,0,0,0,0,0,0,510,
