County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count
39,MESA,2000,Mesa County Valley 51,2297,Dual Immersion Academy School,25,0,43,47,47,48,43,47,0,0,0,0,0,0,0,300
39,MESA,2000,Mesa County Valley 51,2392,East Middle School,0,0,0,0,0,0,0,0,160,156,111,0,0,0,0,427
39,MESA,2000,Mesa County Valley 51,2724,New Emerson School at Columbus,0,0,24,23,23,23,23,23,0,0,0,0,0,0,0,139
39,MESA,2000,Mesa County Valley 51,3244,Fruita Middle School,0,0,0,0,0,0,0,0,252,244,0,0,0,0,0,496
39,MESA,2000,Mesa County Valley 51,3262,Fruitvale Elementary School,29,0,68,55,58,67,70,65,0,0,0,0,0,0,0,412
39,MESA,2000,Mesa County Valley 51,3350,Gateway School,0,0,3,1,1,3,2,3,1,4,0,2,0,1,0,21
39,MESA,2000,Mesa County Valley 51,3570,Grand Junction High School,0,0,0,0,0,0,0,0,0,0,0,477,404,334,307,"1,522"
39,MESA,2000,Mesa County Valley 51,3584,Grand Mesa Middle School,0,0,0,0,0,0,0,0,154,171,186,0,0,0,0,511
39,MESA,2000,Mesa County Valley 51,3604,Grand River Academy,0,0,4,11,6,10,17,15,21,39,53,66,73,76,117,508
39,MESA,2000,Mesa County Valley 51,4439,Juniper Ridge Community School,0,2,54,53,51,52,43,50,42,38,34,0,0,0,0,419
39,MESA,2000,Mesa County Valley 51,5210,Lincoln Orchard Mesa Elementary School,27,0,51,45,47,63,44,65,0,0,0,0,0,0,0,342
39,MESA,2000,Mesa County Valley 51,5244,Loma Elementary School,17,0,48,32,37,32,48,31,0,0,0,0,0,0,0,245
39,MESA,2000,Mesa County Valley 51,5828,Mesa Valley Community School,0,13,0,18,21,20,18,17,22,31,34,29,28,32,28,311
39,MESA,2000,Mesa County Valley 51,5842,Mesa View Elementary School,49,0,54,48,66,55,55,62,0,0,0,0,0,0,0,389
39,MESA,2000,Mesa County Valley 51,6055,Career Center Preschool,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
39,MESA,2000,Mesa County Valley 51,6070,Fruita Monument High School,0,0,0,0,0,0,0,0,0,0,0,0,435,446,423,"1,304"
39,MESA,2000,Mesa County Valley 51,6166,Mount Garfield Middle School,0,0,0,0,0,0,0,0,190,192,199,0,0,0,0,581
39,MESA,2000,Mesa County Valley 51,6264,Nisley Elementary School,46,0,50,49,46,48,63,47,0,0,0,0,0,0,0,349
39,MESA,2000,Mesa County Valley 51,6554,Orchard Avenue Elementary School,23,1,46,56,66,52,48,45,0,0,0,0,0,0,0,337
39,MESA,2000,Mesa County Valley 51,6562,Orchard Mesa Middle School,0,0,0,0,0,0,0,0,165,155,145,0,0,0,0,465
39,MESA,2000,Mesa County Valley 51,6666,Palisade High School,0,0,0,0,0,0,0,0,0,0,0,303,305,245,272,"1,125"
39,MESA,2000,Mesa County Valley 51,7110,Pomona Elementary School,0,0,47,57,63,57,56,67,0,0,0,0,0,0,0,347
39,MESA,2000,Mesa County Valley 51,7236,R-5 High School,0,0,0,0,0,0,0,0,0,0,0,0,2,52,135,189
39,MESA,2000,Mesa County Valley 51,7281,Redlands Middle School,0,0,0,0,0,0,0,0,168,200,170,0,0,0,0,538
39,MESA,2000,Mesa County Valley 51,7467,Rocky Mountain Elementary School,30,0,71,84,76,60,81,67,0,0,0,0,0,0,0,469
39,MESA,2000,Mesa County Valley 51,7832,Shelledy Elementary School,49,2,30,57,65,67,50,67,0,0,0,0,0,0,0,387
39,MESA,2000,Mesa County Valley 51,8462,Taylor Elementary School,25,1,38,51,56,44,55,51,0,0,0,0,0,0,0,321
39,MESA,2000,Mesa County Valley 51,8846,Thunder Mountain Elementary School,25,1,68,76,62,67,76,68,0,0,0,0,0,0,0,443
39,MESA,2000,Mesa County Valley 51,8876,Tope Elementary School,79,1,52,44,45,52,43,49,0,0,0,0,0,0,0,365
39,MESA,2000,Mesa County Valley 51,9406,West Middle School,0,0,0,0,0,0,0,0,109,100,107,0,0,0,0,316
39,MESA,2000,Mesa County Valley 51,9434,Scenic Elementary School,0,0,47,42,48,42,45,43,0,0,0,0,0,0,0,267
39,MESA,2000,Mesa County Valley 51,9673,Wingate Elementary School,0,0,51,59,57,74,77,61,0,0,0,0,0,0,0,379
40,MINERAL,2010,Creede School District,1966,Creede School,0,0,8,8,9,7,8,9,7,7,5,4,5,5,4,86
41,MOFFAT,2020,Moffat County RE: No 1,1936,Sandrock Elementary,0,0,51,64,51,52,63,52,0,1,0,0,0,0,0,334
41,MOFFAT,2020,Moffat County RE: No 1,1938,Craig Middle School,0,0,0,0,0,0,0,0,167,152,149,0,0,0,0,468
41,MOFFAT,2020,Moffat County RE: No 1,2373,Early Childhood Center,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
41,MOFFAT,2020,Moffat County RE: No 1,5656,Maybell School,0,0,1,3,4,4,2,2,0,0,0,0,0,0,0,16
41,MOFFAT,2020,Moffat County RE: No 1,5962,Moffat County High School,0,0,0,0,0,0,0,0,0,0,0,147,150,146,122,565
41,MOFFAT,2020,Moffat County RE: No 1,7338,Ridgeview Elementary School,0,0,45,43,51,47,59,41,0,0,0,0,0,0,0,286
41,MOFFAT,2020,Moffat County RE: No 1,8398,Sunset Elementary School,0,0,42,51,50,62,54,43,0,0,0,0,0,0,0,302
42,MONTEZUMA,2035,Montezuma-Cortez RE-1,0609,Battle Rock Charter School,0,4,11,12,19,12,15,12,10,0,0,0,0,0,0,95
42,MONTEZUMA,2035,Montezuma-Cortez RE-1,1888,Montezuma-Cortez Middle School,0,0,0,0,0,0,0,0,168,185,180,0,0,0,0,533
42,MONTEZUMA,2035,Montezuma-Cortez RE-1,2036,Children's Kiva Montessori School,0,0,12,17,14,22,13,13,21,15,15,0,0,0,0,142
42,MONTEZUMA,2035,Montezuma-Cortez RE-1,4546,Kemper Elementary School,0,0,27,55,67,70,64,74,0,0,0,0,0,0,0,357
42,MONTEZUMA,2035,Montezuma-Cortez RE-1,5090,Lewis-Arriola Elementary School,0,0,17,19,22,22,18,20,0,0,0,0,0,0,0,118
